"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"01-50","REPOSTERIA","27.00","9.00","14.00","7.00","27.00","84.00"
"09-11","JARRA","24.00","0","29.00","16.00","13.00","82.00"
"01-39","PALMITOS Y CHAMPIGNONES","19.00","20.00","20.00","15.00","6.00","80.00"
"05-23","PRESERVATIVOS","11.00","10.00","5.00","36.00","18.00","80.00"
"09-22","ESCURRIDOR","8.00","22.00","25.00","14.00","10.00","79.00"
"20-13","FLOTADORES/SALVAVIDAS","68.00","8.00","0","0","0","76.00"
"20-15","PISTOLAS/ARMAS/ESCUDOS","44.00","11.00","4.00","7.00","10.00","76.00"
"05-06","CARBON VEGETAL","15.00","9.00","11.00","12.00","28.00","75.00"
"90-17","CAMISAS","3.00","0","4.00","18.00","49.00","74.00"
"03-19","GIRASOL","0","0","0","0","72.00","72.00"
"16-12","MARCADORES","7.00","21.00","24.00","9.00","7.00","68.00"
"16-02","LAPICERAS","16.00","15.00","15.00","4.00","16.00","66.00"
"15-10","ESPUMANTES Y FRIZZE","24.00","13.00","10.00","6.00","12.00","65.00"
"07-03","ELEMENTOS PARA AFEITAR","12.00","8.00","13.00","21.00","11.00","65.00"
"16-21","CORRECTORES","4.00","31.00","28.00","0","1.00","64.00"
"01-60","FRUTAS SECAS/REMOJADAS","16.00","11.54","6.73","12.37","17.20","63.84"
"07-24","PEINES","10.00","22.00","15.00","12.00","4.00","63.00"
"06-12","PIONONO","10.00","17.00","13.00","15.00","4.00","59.00"
"15-03","WISKYS","3.00","9.00","10.00","14.00","23.00","59.00"
"16-38","MOCHILAS","3.00","18.00","34.00","1.00","1.00","57.00"
"01-62","LASAGNAS","4.00","14.00","15.00","8.00","14.00","55.00"
"09-52","TERMO","12.00","0","19.00","12.00","12.00","55.00"
"20-02","MU ECAS/BEBES","23.00","10.00","13.00","5.00","2.00","53.00"
"07-38","ESTETICA PERSONAL","5.00","6.00","3.00","26.00","12.00","52.00"
"09-12","TAZAS","0","52.00","0","0","0","52.00"
"16-23","TIJERAS","2.00","4.00","26.00","10.00","8.00","50.00"
"09-05","CESTOS","0","49.00","0","0","0","49.00"
"05-27","TAMPONES","13.00","12.00","8.00","10.00","5.00","48.00"
"15-09","LICORES","5.00","4.00","8.00","4.00","27.00","48.00"
"16-30","SEPARADORES","1.00","5.00","33.00","8.00","0","47.00"
"09-31","BALDES","0","47.00","0","0","0","47.00"
"16-44","BLOCKS/ANOTADORES","6.00","7.00","15.00","10.00","9.00","47.00"
"09-43","PERCHAS","0","46.00","0","0","0","46.00"
"01-34","SEMOLAS","10.00","4.00","12.00","13.00","6.00","45.00"
"90-21","PARAGUAS","18.00","9.00","10.00","6.00","2.00","45.00"
"16-29","CARTUCHERAS","3.00","6.00","22.00","12.00","1.00","44.00"
"09-54","BOTELLITAS","0","44.00","0","0","0","44.00"
"16-08","FOLIOS","1.00","22.00","14.00","6.00","0","43.00"
"04-43","PLUMEROS","10.00","13.00","6.00","3.00","8.00","40.00"
"90-25","ANILINAS","4.00","1.00","2.00","22.00","10.00","39.00"
"09-48","MANTELES","0","39.00","0","0","0","39.00"
"10-02","TURRONES","23.00","13.00","2.00","0","0","38.00"
"09-02","MOLDE","11.00","0","9.00","12.00","5.00","37.00"
"04-31","CERA PARA PISOS","9.00","11.00","3.00","8.00","6.00","37.00"
"20-17","PONYS","16.00","4.00","0","9.00","8.00","37.00"
"09-38","UTENSILLOS","0","36.00","0","0","0","36.00"
"09-03","MATES Y BOMBILLAS","0","34.00","0","0","0","34.00"
"16-13","CRAYONES","0","5.00","12.00","10.00","7.00","34.00"
"06-16","GALLETITAS DE MESA","16.00","0","13.00","1.00","3.00","33.00"
"05-36","LUBRICANTES","4.00","7.00","3.00","12.00","7.00","33.00"
"09-35","ESPECIEROS","0","23.00","0","0","10.00","33.00"
"90-88","SABANAS","5.00","0","12.00","11.00","3.00","31.00"
"09-07","FUENTONES","15.00","16.00","0","0","0","31.00"
"16-11","LAP.COLORES","1.00","16.00","10.00","2.00","2.00","31.00"
"01-44","PURE DE PAPAS","6.00","1.00","8.00","7.00","8.00","30.00"
"09-46","BIFERA","7.00","0","9.00","13.00","0","29.00"
"16-10","PLASTILINAS","0","7.00","12.00","5.00","5.00","29.00"
"20-07","ANIMALES/DINOSAURIOS","13.00","4.00","3.00","5.00","4.00","29.00"
"07-39","PROTECTOR SOLAR","16.00","6.00","3.00","3.00","0","28.00"
"09-28","TABLA DE PICAR","0","28.00","0","0","0","28.00"
"09-45","BOWL","0","26.00","0","0","0","26.00"
"04-35","LAMPAZO","8.00","6.00","2.00","1.00","9.00","26.00"
"15-20","CA A QUEMADA","5.00","4.00","5.00","3.00","7.00","24.00"
"04-57","LAMINAS/PAPEL ALUM/MANTECA","10.00","5.00","6.00","2.00","1.00","24.00"
"06-14","MERENGUES","2.00","22.00","0","0","0","24.00"
"16-25","TEMPERAS","0","4.00","6.00","6.00","8.00","24.00"
"09-11","JARRAS","0","22.00","0","0","0","22.00"
"20-01","PELOTAS","7.00","2.00","4.00","6.00","3.00","22.00"
"09-14","CACEROLAS","0","22.00","0","0","0","22.00"
"04-23","SOPAPAS","7.00","0","6.00","3.00","5.00","21.00"
"09-34","ENSALADERAS","0","20.00","0","0","0","20.00"
"09-59","CANTIMPLORA","0","20.00","0","0","0","20.00"
"03-09","BOCADITOS/CONITOS","0","0","0","11.00","9.00","20.00"
"09-17","PAVA","5.00","0","9.00","3.00","2.00","19.00"
"51-09","VENTILADOR","4.00","12.00","2.00","1.00","0","19.00"
"09-48","MANTEL","0","0","0","0","18.00","18.00"
"20-10","PELUCHES","5.00","6.00","2.00","1.00","4.00","18.00"
"90-19","GORRAS/GORROS","7.00","1.00","1.00","0","9.00","18.00"
"51-05","CARGADORES/CABLES","3.00","2.00","0","4.00","8.00","17.00"
"09-66","PORTA RETRATO","1.00","0","0","4.00","12.00","17.00"
"09-51","BANDEJAS PLASTICAS","0","16.00","0","0","0","16.00"
"16-26","ACUARELAS","3.00","0","5.00","6.00","2.00","16.00"
"20-12","MU ECOS/ROBOT","5.00","4.00","2.00","4.00","1.00","16.00"
"90-91","BOLSOS/MORRAL","2.00","7.00","1.00","2.00","3.00","15.00"
"09-30","VERTEDORES","0","15.00","0","0","0","15.00"
"09-01","BANDEJAS P/HORNEAR","0","15.00","0","0","0","15.00"
"09-09","CUBETERAS","0","14.00","0","0","0","14.00"
"17-02","ACCESORIOS PARA MASCOTAS","4.00","1.00","8.00","1.00","0","14.00"
"01-40","PULPAS DE FRUTA","8.00","2.00","2.00","0","0","12.00"
"05-28","MAQUILLAJES","6.00","2.00","1.00","1.00","2.00","12.00"
"09-02","MOLDES","0","12.00","0","0","0","12.00"
"20-06","JUEGOS DE PLAYA","5.00","6.00","0","0","0","11.00"
"04-54","APRESTO","2.00","2.00","4.00","2.00","1.00","11.00"
"09-46","ASADERAS","0","11.00","0","0","0","11.00"
"90-90","COVER","5.00","2.00","0","3.00","1.00","11.00"
"20-08","JUEGOS DE MESA","6.00","0","3.00","2.00","0","11.00"
"51-02","PARLANTES","3.00","3.00","2.00","2.00","0","10.00"
"09-37","MANTEQUERAS","0","10.00","0","0","0","10.00"
"09-52","TERMOS","0","9.00","0","0","0","9.00"
